,job_title,time,collected,file_name
0,Marketing Specialist,1573143042,326,Marketing Specialist.csv
1,Marketing Manager,1573143228,398,Marketing Manager.csv
2,Marketing Director,1573145757,333,Marketing Director.csv
3,Graphic Designer,1573146302,280,Graphic Designer.csv
4,Marketing Research Analyst,0,0,0
5,Marketing Communications Manager,0,0,0
6,Marketing Consultant,0,0,0
7,Product Manager,0,0,0
8,Public Relations,0,0,0
9,Social Media Assistant,0,0,0
10,Brand Manager,0,0,0
11,SEO Manager,0,0,0
12,Content Marketing Manager,0,0,0
13,Copywriter,0,0,0
14,Media Buyer,0,0,0
15,Digital Marketing Manager,0,0,0
16,eCommerce Marketing Specialist,0,0,0
17,Brand Strategist,0,0,0
18,Vice President of Marketing,0,0,0
19,Media Relations Coordinator,0,0,0
20,Administrative Assistant,0,0,0
21,Receptionist,0,0,0
22,Office Manager,0,0,0
23,Auditing Clerk,0,0,0
24,Bookkeeper,0,0,0
25,Account Executive,0,0,0
26,Branch Manager,0,0,0
27,Business Manager,0,0,0
28,Quality Control Coordinator,0,0,0
29,Administrative Manager,0,0,0
30,Chief Executive Officer,0,0,0
31,Business Analyst,0,0,0
32,Risk Manager,0,0,0
33,Human Resources,0,0,0
34,Office Assistant,0,0,0
35,Secretary,0,0,0
36,Office Clerk,0,0,0
37,File Clerk,0,0,0
38,Account Collector,0,0,0
39,Administrative Specialist,0,0,0
40,Executive Assistant,0,0,0
41,Program Administrator,0,0,0
42,Program Manager,0,0,0
43,Administrative Analyst,0,0,0
44,Data Entry,0,0,0
45,CEO,0,0,0
46,Chief Executive Officer,0,0,0
47,COO,0,0,0
48,Chief Operating Officer,0,0,0
49,CFO,0,0,0
50,Chief Financial Officer,0,0,0
51,CIO,0,0,0
52,Chief Information Officer,0,0,0
53,CTO,0,0,0
54,Chief Technology Officer,0,0,0
55,CMO,0,0,0
56,Chief Marketing Officer,0,0,0
57,CHRO,0,0,0
58,Chief Human Resources Officer,0,0,0
59,CDO,0,0,0
60,Chief Data Officer,0,0,0
61,CPO,0,0,0
62,Chief Product Officer,0,0,0
63,CCO,0,0,0
64,Chief Customer Officer,0,0,0
65,Team Leader,0,0,0
66,Manager,0,0,0
67,Assistant Manager,0,0,0
68,Executive,0,0,0
69,Director,0,0,0
70,Coordinator,0,0,0
71,Administrator,0,0,0
72,Controller,0,0,0
73,Officer,0,0,0
74,Organizer,0,0,0
75,Supervisor,0,0,0
76,Superintendent,0,0,0
77,Head,0,0,0
78,Overseer,0,0,0
79,Chief,0,0,0
80,Foreman,0,0,0
81,Controller,0,0,0
82,Principal,0,0,0
83,President,0,0,0
84,Lead,0,0,0
85,Computer Scientist,0,0,0
86,IT Professional,0,0,0
87,UX Designer & UI Developer,0,0,0
88,SQL Developer,0,0,0
89,Web Designer,0,0,0
90,Web Developer,0,0,0
91,Help Desk Worker/Desktop Support,0,0,0
92,Software Engineer,0,0,0
93,Data Entry,0,0,0
94,DevOps Engineer,0,0,0
95,Computer Programmer,0,0,0
96,Network Administrator,0,0,0
97,Information Security Analyst,0,0,0
98,Artificial Intelligence Engineer,0,0,0
99,Cloud Architect,0,0,0
100,IT Manager,0,0,0
101,Technical Specialist,0,0,0
102,Application Developer,0,0,0
103,Chief Technology Officer (CTO),0,0,0
104,Chief Information Officer (CIO),0,0,0
105,Sales Associate,0,0,0
106,Sales Representative,0,0,0
107,Sales Manager,0,0,0
108,Retail Worker,0,0,0
109,Store Manager,0,0,0
110,Sales Representative,0,0,0
111,Sales Manager,0,0,0
112,Real Estate Broker,0,0,0
113,Sales Associate,0,0,0
114,Cashier,0,0,0
115,Store Manager,0,0,0
116,Account Executive,0,0,0
117,Account Manager,0,0,0
118,Area Sales Manager,0,0,0
119,Direct Salesperson,0,0,0
120,Director of Inside Sales,0,0,0
121,Outside Sales Manager,0,0,0
122,Sales Analyst,0,0,0
123,Market Development Manager,0,0,0
124,B2B Sales Specialist,0,0,0
125,Sales Engineer,0,0,0
126,Construction Worker,0,0,0
127,Taper,0,0,0
128,Plumber,0,0,0
129,Heavy Equipment Operator,0,0,0
130,Vehicle or Equipment Cleaner,0,0,0
131,Carpenter,0,0,0
132,Electrician,0,0,0
133,Painter,0,0,0
134,Welder,0,0,0
135,Handyman,0,0,0
136,Boilermaker,0,0,0
137,Crane Operator,0,0,0
138,Building Inspector,0,0,0
139,Pipefitter,0,0,0
140,Sheet Metal Worker,0,0,0
141,Iron Worker,0,0,0
142,Mason,0,0,0
143,Roofer,0,0,0
144,Solar Photovoltaic Installer,0,0,0
145,Well Driller,0,0,0
146,CEO,0,0,0
147,Proprietor,0,0,0
148,Principal,0,0,0
149,Owner,0,0,0
150,President,0,0,0
151,Founder,0,0,0
152,Administrator,0,0,0
153,Director,0,0,0
154,Managing Partner,0,0,0
155,Managing Member,0,0,0
156,Board of Directors,0,0,0
157,C-Level or C-Suite.,0,0,0
158,Shareholders,0,0,0
159,Managers,0,0,0
160,Supervisors,0,0,0
161,Front-Line Employees,0,0,0
162,Quality Control,0,0,0
163,Human Resources,0,0,0
164,Accounting Staff,0,0,0
165,Marketing Staff,0,0,0
166,Purchasing Staff,0,0,0
167,Shipping and Receiving Staff,0,0,0
168,Office Manager,0,0,0
169,Receptionist,0,0,0
170,Virtual Assistant,0,0,0
171,Customer Service,0,0,0
172,Customer Support,0,0,0
173,Concierge,0,0,0
174,Help Desk,0,0,0
175,Customer Service Manager,0,0,0
176,Technical Support Specialist,0,0,0
177,Account Representative,0,0,0
178,Client Service Specialist,0,0,0
179,Customer Care Associate,0,0,0
180,Operations Manager,0,0,0
181,Operations Assistant,0,0,0
182,Operations Coordinator,0,0,0
183,Operations Analyst,0,0,0
184,Operations Director,0,0,0
185,Vice President of Operations,0,0,0
186,Operations Professional,0,0,0
187,Scrum Master,0,0,0
188,Continuous Improvement Lead,0,0,0
189,Continuous Improvement Consultant,0,0,0
190,Credit Authorizer,0,0,0
191,Benefits Manager,0,0,0
192,Credit Counselor,0,0,0
193,Accountant,0,0,0
194,Bookkeeper,0,0,0
195,Accounting Analyst,0,0,0
196,Accounting Director,0,0,0
197,Accounts Payable/Receivable Clerk,0,0,0
198,Auditor,0,0,0
199,Budget Analyst,0,0,0
200,Controller,0,0,0
201,Financial Analyst,0,0,0
202,Finance Manager,0,0,0
203,Economist,0,0,0
204,Payroll Manager,0,0,0
205,Payroll Clerk,0,0,0
